model_col,series_code,unit,freq,description,tags
baker_unitedstates_miscellaneous_vertical_eagle_ford,baker.united states.miscellaneous.vertical.eagle_ford,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Eagle Ford,baker
baker_unitedstates_miscellaneous_vertical_haynesville,baker.united states.miscellaneous.vertical.haynesville,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Haynesville,baker
baker_unitedstates_miscellaneous_vertical_marcellus,baker.united states.miscellaneous.vertical.marcellus,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Marcellus,baker
baker_unitedstates_miscellaneous_vertical_other,baker.united states.miscellaneous.vertical.other,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Other,baker
baker_unitedstates_miscellaneous_vertical_permian,baker.united states.miscellaneous.vertical.permian,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Permian,baker
baker_unitedstates_miscellaneous_vertical_utica,baker.united states.miscellaneous.vertical.utica,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Utica,baker
baker_unitedstates_miscellaneous_vertical_williston,baker.united states.miscellaneous.vertical.williston,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Williston,baker
baker_unitedstates_oil_directional_ardmore_woodford,baker.united states.oil.directional.ardmore_woodford,rigs,weekly,Baker Unitedstates Oil Directional Ardmore Woodford,baker
baker_unitedstates_oil_directional_arkoma_woodford,baker.united states.oil.directional.arkoma_woodford,rigs,weekly,Baker Unitedstates Oil Directional Arkoma Woodford,baker
baker_unitedstates_oil_directional_barnett,baker.united states.oil.directional.barnett,rigs,weekly,Baker Unitedstates Oil Directional Barnett,baker
baker_unitedstates_oil_directional_cana_woodford,baker.united states.oil.directional.cana_woodford,rigs,weekly,Baker Unitedstates Oil Directional Cana Woodford,baker
baker_unitedstates_oil_directional_dj_niobrara,baker.united states.oil.directional.dj-niobrara,rigs,weekly,Baker Unitedstates Oil Directional Dj Niobrara,baker
baker_unitedstates_oil_directional_eagle_ford,baker.united states.oil.directional.eagle_ford,rigs,weekly,Baker Unitedstates Oil Directional Eagle Ford,baker
baker_unitedstates_oil_directional_granite_wash,baker.united states.oil.directional.granite_wash,rigs,weekly,Baker Unitedstates Oil Directional Granite Wash,baker
baker_unitedstates_oil_directional_haynesville,baker.united states.oil.directional.haynesville,rigs,weekly,Baker Unitedstates Oil Directional Haynesville,baker
baker_unitedstates_oil_directional_marcellus,baker.united states.oil.directional.marcellus,rigs,weekly,Baker Unitedstates Oil Directional Marcellus,baker
baker_unitedstates_oil_directional_mississippian,baker.united states.oil.directional.mississippian,rigs,weekly,Baker Unitedstates Oil Directional Mississippian,baker
baker_unitedstates_oil_directional_other,baker.united states.oil.directional.other,rigs,weekly,Baker Unitedstates Oil Directional Other,baker
baker_unitedstates_oil_directional_permian,baker.united states.oil.directional.permian,rigs,weekly,Baker Unitedstates Oil Directional Permian,baker
baker_unitedstates_oil_directional_utica,baker.united states.oil.directional.utica,rigs,weekly,Baker Unitedstates Oil Directional Utica,baker
baker_unitedstates_oil_directional_williston,baker.united states.oil.directional.williston,rigs,weekly,Baker Unitedstates Oil Directional Williston,baker
baker_unitedstates_oil_horizontal_ardmore_woodford,baker.united states.oil.horizontal.ardmore_woodford,rigs,weekly,Baker Unitedstates Oil Horizontal Ardmore Woodford,baker
baker_unitedstates_oil_horizontal_arkoma_woodford,baker.united states.oil.horizontal.arkoma_woodford,rigs,weekly,Baker Unitedstates Oil Horizontal Arkoma Woodford,baker
baker_unitedstates_oil_horizontal_barnett,baker.united states.oil.horizontal.barnett,rigs,weekly,Baker Unitedstates Oil Horizontal Barnett,baker
