model_col,series_code,unit,freq,description,tags,aliases
non_opec_doc_crude_production_1qcy,opec.t11_1.non_opec_doc_crude_production_1qcy,million_barrels_per_day,monthly,Non-OPEC DoC crude production 1Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
non_opec_doc_crude_production_2qcy,opec.t11_1.non_opec_doc_crude_production_2qcy,million_barrels_per_day,monthly,Non-OPEC DoC crude production 2Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
non_opec_doc_crude_production_3qcy,opec.t11_1.non_opec_doc_crude_production_3qcy,million_barrels_per_day,monthly,Non-OPEC DoC crude production 3Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
non_opec_doc_crude_production_4qcy,opec.t11_1.non_opec_doc_crude_production_4qcy,million_barrels_per_day,monthly,Non-OPEC DoC crude production 4Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
non_opec_doc_crude_production_1qny,opec.t11_1.non_opec_doc_crude_production_1qny,million_barrels_per_day,monthly,Non-OPEC DoC crude production 1Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
non_opec_doc_crude_production_2qny,opec.t11_1.non_opec_doc_crude_production_2qny,million_barrels_per_day,monthly,Non-OPEC DoC crude production 2Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
non_opec_doc_crude_production_3qny,opec.t11_1.non_opec_doc_crude_production_3qny,million_barrels_per_day,monthly,Non-OPEC DoC crude production 3Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
non_opec_doc_crude_production_4qny,opec.t11_1.non_opec_doc_crude_production_4qny,million_barrels_per_day,monthly,Non-OPEC DoC crude production 4Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
doc_crude_production_1qcy,opec.t11_1.doc_crude_production_1qcy,million_barrels_per_day,monthly,DoC crude oil production 1Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
doc_crude_production_2qcy,opec.t11_1.doc_crude_production_2qcy,million_barrels_per_day,monthly,DoC crude oil production 2Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
doc_crude_production_3qcy,opec.t11_1.doc_crude_production_3qcy,million_barrels_per_day,monthly,DoC crude oil production 3Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
doc_crude_production_4qcy,opec.t11_1.doc_crude_production_4qcy,million_barrels_per_day,monthly,DoC crude oil production 4Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
doc_crude_production_1qny,opec.t11_1.doc_crude_production_1qny,million_barrels_per_day,monthly,DoC crude oil production 1Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
doc_crude_production_2qny,opec.t11_1.doc_crude_production_2qny,million_barrels_per_day,monthly,DoC crude oil production 2Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
doc_crude_production_3qny,opec.t11_1.doc_crude_production_3qny,million_barrels_per_day,monthly,DoC crude oil production 3Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
doc_crude_production_4qny,opec.t11_1.doc_crude_production_4qny,million_barrels_per_day,monthly,DoC crude oil production 4Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
total_liquids_production_1qcy,opec.t11_1.total_liquids_production_1qcy,million_barrels_per_day,monthly,Total liquids production 1Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
total_liquids_production_2qcy,opec.t11_1.total_liquids_production_2qcy,million_barrels_per_day,monthly,Total liquids production 2Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
total_liquids_production_3qcy,opec.t11_1.total_liquids_production_3qcy,million_barrels_per_day,monthly,Total liquids production 3Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
total_liquids_production_4qcy,opec.t11_1.total_liquids_production_4qcy,million_barrels_per_day,monthly,Total liquids production 4Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
total_liquids_production_1qny,opec.t11_1.total_liquids_production_1qny,million_barrels_per_day,monthly,Total liquids production 1Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
total_liquids_production_2qny,opec.t11_1.total_liquids_production_2qny,million_barrels_per_day,monthly,Total liquids production 2Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
total_liquids_production_3qny,opec.t11_1.total_liquids_production_3qny,million_barrels_per_day,monthly,Total liquids production 3Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
total_liquids_production_4qny,opec.t11_1.total_liquids_production_4qny,million_barrels_per_day,monthly,Total liquids production 4Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
balance_stock_change_misc_1qcy,opec.t11_1.balance_1qcy,million_barrels_per_day,monthly,Oil balance (stock change + misc) 1Q Current Year (OPEC MOMR),"{""opec"",""balance""}"
balance_stock_change_misc_2qcy,opec.t11_1.balance_2qcy,million_barrels_per_day,monthly,Oil balance (stock change + misc) 2Q Current Year (OPEC MOMR),"{""opec"",""balance""}"
balance_stock_change_misc_3qcy,opec.t11_1.balance_3qcy,million_barrels_per_day,monthly,Oil balance (stock change + misc) 3Q Current Year (OPEC MOMR),"{""opec"",""balance""}"
balance_stock_change_misc_4qcy,opec.t11_1.balance_4qcy,million_barrels_per_day,monthly,Oil balance (stock change + misc) 4Q Current Year (OPEC MOMR),"{""opec"",""balance""}"
balance_stock_change_misc_1qny,opec.t11_1.balance_1qny,million_barrels_per_day,monthly,Oil balance (stock change + misc) 1Q Next Year (OPEC MOMR),"{""opec"",""balance""}"
balance_stock_change_misc_2qny,opec.t11_1.balance_2qny,million_barrels_per_day,monthly,Oil balance (stock change + misc) 2Q Next Year (OPEC MOMR),"{""opec"",""balance""}"
balance_stock_change_misc_3qny,opec.t11_1.balance_3qny,million_barrels_per_day,monthly,Oil balance (stock change + misc) 3Q Next Year (OPEC MOMR),"{""opec"",""balance""}"
balance_stock_change_misc_4qny,opec.t11_1.balance_4qny,million_barrels_per_day,monthly,Oil balance (stock change + misc) 4Q Next Year (OPEC MOMR),"{""opec"",""balance""}"

